Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
1017,847,Mottd,2,FALSE,TRUE,TRUE,500,E,Minute 5 plus.
1018,847,FerPy,3,FALSE,FALSE,TRUE,500,N,Minute 7.
1019,848,Mottd,1,FALSE,TRUE,FALSE,400,E,
1020,848,FerPy,2,FALSE,FALSE,TRUE,500,W,Minute 8.
1021,848,FerPy,3,FALSE,FALSE,TRUE,500,W,Minute 9.
1022,849,FerPy,1,TRUE,TRUE,TRUE,300,W,Minute 5 plus.
1023,849,FerPy,2,TRUE,TRUE,TRUE,300,W,Minute 5 plus.
1024,849,FerPy,3,TRUE,TRUE,TRUE,300,W,Minute 5 plus.
1025,849,FerPy,4,FALSE,TRUE,FALSE,0,E,
1026,850,FerPy,1,TRUE,TRUE,TRUE,100,W,Minute 11 plus.
1027,850,FerPy,2,FALSE,FALSE,TRUE,300,S,Minute 5 plus.
1028,851,FerPy,1,TRUE,TRUE,FALSE,200,W,
1029,851,FerPy,2,TRUE,TRUE,FALSE,200,W,
1030,851,FerPy,3,TRUE,TRUE,FALSE,150,N,
1031,851,PacSc,4,FALSE,FALSE,TRUE,100,W,Minute 12.
1032,852,FerPy,1,TRUE,TRUE,TRUE,100,S,Minute 9.
1033,853,FerPy,1,FALSE,FALSE,TRUE,200,SW,Minute 7.
1034,853,FerPy,2,FALSE,FALSE,TRUE,100,W,Minute 10.
1035,853,Mottd,3,FALSE,FALSE,TRUE,500,E,Minute 12.
1036,854,FerPy,1,FALSE,FALSE,TRUE,300,SW,Minute 8-9.
1037,854,Mottd,2,FALSE,FALSE,TRUE,500,E,Minute 8.
1038,855,FerPy,1,FALSE,FALSE,TRUE,300,W,Minute 5 plus.
1039,855,FerPy,2,FALSE,FALSE,TRUE,300,W,Minute 6 plus.
1040,855,FerPy,3,FALSE,FALSE,TRUE,300,E,Minute 7 plus.
1041,856,FerPy,1,FALSE,FALSE,TRUE,300,S,Minute 5 plus.
1042,857,FerPy,1,TRUE,TRUE,FALSE,100,E,
1043,857,FerPy,2,TRUE,TRUE,FALSE,100,E,
1044,857,FerPy,3,FALSE,FALSE,TRUE,400,E,Minute 7 plus.
1045,857,Mottd,4,FALSE,FALSE,TRUE,600,N,Minute 12.
1046,857,Specd,5,FALSE,FALSE,TRUE,50,S,Minute 12.Recorded (#182-205)
1047,858,FerPy,1,TRUE,TRUE,TRUE,200,E,Minute 5.
1048,859,FerPy,1,TRUE,TRUE,TRUE,300,E,Minute 7 plus.
1049,860,FerPy,1,TRUE,TRUE,TRUE,250,E,Minute 6 plus. Recorded (#206-238).
1050,860,FerPy,2,FALSE,FALSE,TRUE,250,E,Minute 6 plus. Recorded (#206-238).
1051,860,Specd,3,FALSE,FALSE,TRUE,500,NW,Minute 6 plus. Recorded (#206-238).
1052,860,Specd,4,FALSE,FALSE,TRUE,500,NW,Minute 6 plus. Recorded (#206-238).
1053,864,Mottd,1,FALSE,FALSE,TRUE,250,W,Minute 6.
1054,865,Mottd,1,FALSE,TRUE,TRUE,300,SW,Minute 6.
1055,867,Mottd,1,FALSE,FALSE,TRUE,300,N,Minute 9-11.
1056,868,Mottd,1,TRUE,TRUE,TRUE,225,S,Minute 5 plus. Female cat like call. Moved to 50 meters S.Recorded (#131-166). Both closer after broadcast.
1057,868,Mottd,2,FALSE,FALSE,TRUE,45,W,Minute 5 plus. Male.  Recorded (#131-166).Both closer after broadcast.
1059,869,Mottd,1,FALSE,FALSE,TRUE,200,E,Minute 6 plus.
1061,869,Mottd,2,FALSE,FALSE,TRUE,60,E,Minute 12. Female.
1062,870,Mottd,1,FALSE,FALSE,TRUE,200,S,Minute 6-8.
1063,871,Mottd,1,FALSE,FALSE,TRUE,400,S,Minute 6 plus.
1064,872,Mottd,1,FALSE,FALSE,TRUE,200,E,Minute 10 plus.
1065,872,Mottd,2,FALSE,FALSE,TRUE,200,S,Minute 11.
1066,874,Mottd,1,TRUE,TRUE,TRUE,350,S,Minute 5-10.Long ways off in the valley
1067,876,Mottd,1,FALSE,FALSE,TRUE,150,S,Minute 10. Female cat like vocalization (one time).
1068,877,Mottd,1,FALSE,FALSE,TRUE,100,N,Minute 5 plus.
1069,877,Mottd,2,FALSE,FALSE,TRUE,400,N,Minute 10. Really a long ways off.
1070,881,Mottd,1,FALSE,FALSE,TRUE,8,S,Minute 6-12. Recorded (#232-256).
1071,881,Mottd,2,FALSE,FALSE,TRUE,200,S,Minute 6-8.
1072,883,FerPy,1,TRUE,TRUE,TRUE,400,W,Minute 7-12.
1075,882,FerPy,1,TRUE,FALSE,FALSE,50,S,
1076,882,FerPy,2,TRUE,FALSE,FALSE,200,SE,
1077,882,Mottd,3,FALSE,TRUE,FALSE,400,SE,
1079,886,Specd,1,FALSE,FALSE,TRUE,300,E,Minute 7 plus.
1080,886,Specd,2,FALSE,FALSE,TRUE,30,E,Minute 7 plus.
1081,886,FerPy,3,FALSE,FALSE,TRUE,200,S,Minute 8 plus.
1082,887,Mottd,1,FALSE,FALSE,TRUE,500,S,Minute 7 plus.
1083,887,Specd,2,FALSE,FALSE,TRUE,500,E,Minute 7 plus.
1084,888,FerPy,1,TRUE,TRUE,FALSE,100,E,
1085,888,FerPy,2,TRUE,TRUE,TRUE,200,S,Minute 7 plus.
1087,888,Specd,3,FALSE,FALSE,TRUE,350,S,Minute 12.
1088,890,FerPy,1,TRUE,TRUE,TRUE,200,W,Minute 9 plus.
1089,890,Specd,2,FALSE,FALSE,TRUE,300,E,Minute 7-8.
